BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Guru Real Estate Services LLC;House for sale;599999;5;4.0;2184.207862;145-37 115th Ave;Jamaica, NY 11436;145-37 115th AveJamaica, NY 11436;United States;New York;Queens County;Queens;115th Avenue;145-37 115th Ave, Jamaica, NY 11436, USA;40.6836616;-73.7970345
Brokered by Brown Harris Stevens;Co-op for sale;300000;1;1.0;2184.207862;209 W 118th St Apt 2F;Manhattan, NY 10026;209 W 118th St Apt 2FManhattan, NY 10026;New York;New York County;New York;Manhattan;209;209 W 118th St #2f, New York, NY 10026, USA;40.8050658;-73.9524985
Brokered by Winzone Realty Inc;Co-op for sale;389000;1;1.0;900.0;44-10 Ketcham St Unit 5B;Elmhurst, NY 11373;44-10 Ketcham St Unit 5BElmhurst, NY 11373;New York;Queens County;Queens;Flushing;4410;4410 Ketcham St #5b, Queens, NY 11373, USA;40.7427717;-73.8796707
Brokered by Douglas Elliman - 575 Madison Ave;Co-op for sale;875000;1;2.0;2184.207862;750 Park Ave Apt 9B;New York, NY 10021;750 Park Ave Apt 9BNew York, NY 10021;New York;New York County;New York;Manhattan;750;750 Park Ave #9b, New York, NY 10021, USA;40.7710157;-73.9642556
Brokered by COMPASS;Condo for sale;3000000;3;3.0;2100.0;418 E 59th St # B;Manhattan, NY 10022;418 E 59th St # BManhattan, NY 10022;United States;New York;New York County;New York;East 59th Street;418 E 59th St, New York, NY 10022, USA;40.7590132;-73.9612618
Brokered by Morris Park Realty Group;Multi-family home for sale;850000;3;2.0;2194.0;1626 Research Ave;Bronx, NY 10465;1626 Research AveBronx, NY 10465;United States;New York;Bronx County;The Bronx;Research Avenue;1626 Research Ave, Bronx, NY 10465, USA;40.8467388;-73.8189548
Brokered by Coldwell Banker Warburg;Townhouse for sale;3595000;5;4.0;4675.0;549 W 149th St;New York, NY 10031;549 W 149th StNew York, NY 10031;United States;New York;New York County;New York;West 149th Street;549 W 149th St, New York, NY 10031, USA;40.828721;-73.947403
Brokered by Realty Network Of N Y Corp;House for sale;925000;3;2.0;2184.207862;50-02 60th St;Woodside, NY 11377;50-02 60th StWoodside, NY 11377;United States;New York;Queens County;Queens;60th Street;50-02 60th St, Queens, NY 11377, USA;40.737003;-73.904942
Brokered by Keystone Realty USA Corp;House for sale;799000;5;3.0;2184.207862;112-20 210th St;Queens Village, NY 11429;112-20 210th StQueens Village, NY 11429;United States;New York;Queens County;Queens;210th Street;112-20 210th St, Queens Village, NY 11429, USA;40.7039425;-73.7459355
Brokered by Prime Realty;Pending;1399000;4;2.0;1800.0;35-12 213th St;Bayside, NY 11361;35-12 213th StBayside, NY 11361;United States;New York;Queens County;Queens;213th Street;35-12 213th St, Flushing, NY 11361, USA;40.768361;-73.7747442
Brokered by East Coast REALTORS Inc;House for sale;1880000;3;5.0;1920.0;143-40 Poplar Ave;Flushing, NY 11355;143-40 Poplar AveFlushing, NY 11355;United States;New York;Queens County;Queens;Poplar Avenue;143-40 Poplar Ave, Flushing, NY 11355, USA;40.7492709;-73.8119666
Brokered by COMPASS;Co-op for sale;375000;3;1.0;2184.207862;517 W 48th St Apt 2RW;Manhattan, NY 10036;517 W 48th St Apt 2RWManhattan, NY 10036;New York;New York County;New York;Manhattan;517;517 W 48th St Apartment 2rw, New York, NY 10036, USA;40.764038;-73.993548
Brokered by Remax Edge - RE/MAX EDGE;Co-op for sale;269000;1;1.0;625.0;130 Bay Ridge Pkwy Apt 4H;Brooklyn, NY 11209;130 Bay Ridge Pkwy Apt 4HBrooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;130;130 Bay Ridge Pkwy #4h, Brooklyn, NY 11209, USA;40.632218;-74.0321902
Brokered by Realty Network Of N Y Corp;House for sale;925000;3;2.0;2184.207862;50-02 60th St;Woodside, NY 11377;50-02 60th StWoodside, NY 11377;United States;New York;Queens County;Queens;60th Street;50-02 60th St, Queens, NY 11377, USA;40.737003;-73.904942
Brokered by Keystone Realty USA Corp;House for sale;799000;5;3.0;2184.207862;112-20 210th St;Queens Village, NY 11429;112-20 210th StQueens Village, NY 11429;United States;New York;Queens County;Queens;210th Street;112-20 210th St, Queens Village, NY 11429, USA;40.7039425;-73.7459355
Brokered by Keller Williams Realty Greater Nassau;House for sale;4500000;6;4.0;2184.207862;147-21 14th Ave;Whitestone, NY 11357;147-21 14th AveWhitestone, NY 11357;United States;New York;Queens County;Queens;14th Avenue;147-21 14th Ave, Whitestone, NY 11357, USA;40.7880839;-73.8180817
