title,brand,description,stars,reviewsCount,price/currency,price/value,breadCrumbs,asin,url
"Do Not Disturb I'm Gaming Socks,Valentines Day Gifts for Boys Boyfriend,Gaming Socks Teen Gifts Ideas for Boys,Him,Son",Kelool,,4.7,926.0,,,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Men › Socks",B092J1SPX5,https://www.amazon.com/dp/B092J1SPX5
Razer Tartarus V2 Gaming Keypad: Mecha-Membrane Key Switches - One Handed Keyboard - 32 Programmable Keys - Customizable Chroma RGB Lighting - Programmable Macros - Classic Black,Razer,"The Razer Tartarus V2 provides endless commands at your fingertips with 32 fully programmable Mecha-Membrane keys, including an 8-way directional d-pad and 3-way scroll wheel. The keypad also features individually programmable backlit keys with 16.8 million color options, all easily set through Razer Synapse. And with its improved ergonomic form factor and adjustable palm rest with two positions, you get the exact angle of comfort you need. Razer Synapse 3 (PC)/ Razer Synapse 2 (Mac) enabled.",4.4,15386.0,$,77.0,Video Games › PC › Accessories › Controllers › Gamepads & Standard Controllers,B07754PYFK,https://www.amazon.com/dp/B07754PYFK
"Neon Gaming Decor for Boys Room Wooden, Neon Gaming Wooden Door Sign for Gamer Room Decor, Boys Decorations for Bedroom Nursery Playroom Wall Art (6""x12"")",Simimi art,,4.4,25.0,$,9.99,Baby Products › Nursery › Décor › Wall Décor › Wall Plaques,B0CBCBQG4V,https://www.amazon.com/dp/B0CBCBQG4V
I Paused My Game to Be Here Video Gamer Mens Retro Graphic Funny T Shirt,Feelin Good Tees,"The best part is when you pull this shirt over your head you become the center of attention. The finest quality super soft cotton tee. They fit great, preshrunk and we only use brand name tees with some available in big and tall. The t-shirts are heavy weight cotton tees. We have over 1000 designs for you to choose from. Check out our store for more funny and novelty t shirts that will become your favorite. Don't forget when you put down the controller people know you are going back when you wear this graphic shirt.",4.7,18918.0,,,,B07PH1R6X3,https://www.amazon.com/dp/B07PH1R6X3
Neon Sign King Boo The Ghost Face LED Neon Light Mario Lamp Acrylic Sign for Game Room Decor Gaming Light Accessory Gifts for Boy Room Decor (White),JOSEBRU,,4.7,536.0,$,39.99,Tools & Home Improvement › Lighting & Ceiling Fans › Novelty Lighting › Neon Signs,B09Q89FL7G,https://www.amazon.com/dp/B09Q89FL7G
"Paladone Xbox Light Up Headphone Stand, Gamer Headset Stand, Gaming Desk Accessories, Official Xbox Merchandise",Paladone,"Gamers and Xbox devotees will love this 23.5cm (9.3"") tall Xbox Head Light. The all-in-one light up headphone stand will make a great addition to any gaming setup plus it's a cool way to store and display your headset in your home. When you're ready for your next gaming session, simply grab your headset off this stand. The centre piece is also a light featuring the recognizable green Xbox logo. The Xbox Head Light will make the perfect present, and collectors of official Xbox merchandise will welcome this headset stand to their collection of gaming accessories. The light is powered by USB (cable included)",4.5,379.0,$,20.99,Video Games › Xbox One › Accessories › Headsets,B096YL5X8C,https://www.amazon.com/dp/B096YL5X8C
Paladone Yoshi Egg Light 8 in x 7 in | Super Mario Gifts and Room Décor |Officially Licensed Nintendo Merchandise,Paladone,,4.3,565.0,$,29.99,Home & Kitchen › Home Décor Products › Kids' Room Décor › Lamps & Lighting,B07MQBZYZQ,https://www.amazon.com/dp/B07MQBZYZQ
Super Mario Warp Pipe Travel Mug - 15oz Stainless Steel - Officially Licensed Nintendo Merchandise,Paladone,"The perfect mug for any Super Mario fans on the go, this Super Mario Travel Mug is ideal for your commute to work, busy bus rides, or short walks into town. This stainless steel travel mug features a fun Super Mario design that pays homage to the earlier games in this hugely popular franchise. A travel mug with a retro gaming twist, this mug makes a great gift for lovers of the Super Mario series as well as lovers of old school gaming. The Super Mario Travel Mug can hold 450ml (16oz) and has a plastic lid. One of the most popular and instantly recognizable video game characters of all time, Mario first appeared in the iconic 1981 arcade game Donkey Kong under the name 'Jumpman'. Since then, Mario has become a legend within popular culture and has been a defining figure not just for Nintendo, but for the whole gaming industry. Since hitting the big time with Super Mario Bros. Mario has had huge success with other installments such as Super Mario Galaxy, Super Mario 3D World, and the hugely popular racing spin-off Super Mario Kart. The Super Mario Travel Mug is an officially licensed Super Mario product.",4.2,335.0,$,23.64,Home & Kitchen › Kitchen & Dining › Storage & Organization › Thermoses › Insulated Beverage Containers › Cups & Mugs,B082Q1N7QQ,https://www.amazon.com/dp/B082Q1N7QQ
"Gamer Gifts, Gifts For Gamers, Gifts For Gamers Men Teen Boys Boyfiend, Gamer Tumbler 20oz, Cool Gamer Gifts, Gaming Gifts, Video Game Gifts, Gaming Gifts For Men, Christmas Gamers Gift Ideas",Vutieso,,4.7,45.0,$,21.99,Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Glassware & Drinkware › Tumblers & Water Glasses,B0BNQ17V38,https://www.amazon.com/dp/B0BNQ17V38
JENVIO Gamer Gifts for Men - Gamer Mode ON - Stainless Steel Tumbler for Coffee/Cold Drinks w Lid and 2 Straws | Gift Idea Gamer Cup For Valentine's Day - Video Gamer Mug Boys (30 Ounce Black),JENVIO,,4.8,789.0,$,24.8,Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Glassware & Drinkware › Tumblers & Water Glasses,B082FNT9B4,https://www.amazon.com/dp/B082FNT9B4
