BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by COMPASS;Co-op for sale;235000;3;1.0;2184.207862;133 Beach 120th St Apt 2E;Queens, NY 11694;133 Beach 120th St Apt 2EQueens, NY 11694;New York;Queens County;Queens;Rockaway Park;133;133 Beach 120th St #2e, Rockaway Park, NY 11694, USA;40.576751;-73.8398387
Brokered by Coldwell Banker American Homes;House for sale;399999;2;1.0;2184.207862;320C Beach 101st St;Rockaway Park, NY 11694;320C Beach 101st StRockaway Park, NY 11694;United States;New York;Queens County;Queens;Beach 101st Street;320 Beach 101st St, Rockaway Park, NY 11694, USA;40.5853532;-73.8227113
Brokered by Sowae Corp;House for sale;520000;4;2.0;1701.0;860 Herkimer St;Brooklyn, NY 11233;860 Herkimer StBrooklyn, NY 11233;United States;New York;Kings County;Brooklyn;Herkimer Street;860 Herkimer St, Brooklyn, NY 11233, USA;40.6781418;-73.9250576
Brokered by Realty Executives Powerhouse;Condo for sale;485000;3;2.0;2184.207862;901 E 106th St Unit 1A;Brooklyn, NY 11236;901 E 106th St Unit 1ABrooklyn, NY 11236;New York;Kings County;Brooklyn;Canarsie;901;901 E 106th St #1a, Brooklyn, NY 11236, USA;40.6479766;-73.8936697
Brokered by Madison Estates Sotheby's International Realty;Co-op for sale;215000;3;1.0;1100.0;1075 Ocean Pkwy Apt 1C;Brooklyn, NY 11230;1075 Ocean Pkwy Apt 1CBrooklyn, NY 11230;New York;Kings County;Brooklyn;Midwood;1075;1075 Ocean Pkwy #1c, Brooklyn, NY 11230, USA;40.622324;-73.9695073
Brokered by Coldwell Banker Advantage;Multi-family home for sale;1288000;6;5.0;2640.0;1010 Huguenot Ave;Staten Island, NY 10312;1010 Huguenot AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Huguenot Avenue;1010 Huguenot Ave, Staten Island, NY 10312, USA;40.5294592;-74.1903024
Brokered by GANG JASON A;Co-op for sale;270000;2;2.0;900.0;33-05 92nd St Unit 1C;Jackson Heights, NY 11372;33-05 92nd St Unit 1CJackson Heights, NY 11372;New York;Queens County;Queens;Jackson Heights;33-05;33-05 92nd St #1c, Jackson Heights, NY 11372, USA;40.7562792;-73.8758052
Brokered by Douglas Elliman - 3544 Johnson Ave;Co-op for sale;375000;2;2.0;1200.0;3635 Johnson Ave Apt 3G;Bronx, NY 10463;3635 Johnson Ave Apt 3GBronx, NY 10463;New York;Bronx County;The Bronx;Riverdale;3635;3635 Johnson Ave #3g, Bronx, NY 10463, USA;40.8876529;-73.909649
Brokered by Corcoran SoHo;Co-op for sale;565000;1;1.0;2184.207862;78 8th Ave Apt 2K;Brooklyn, NY 11215;78 8th Ave Apt 2KBrooklyn, NY 11215;New York;Kings County;Brooklyn;Park Slope;78;78 8th Ave #2k, Brooklyn, NY 11215, USA;40.6733809;-73.9732475
Brokered by B Square Realty;Multi-family home for sale;849000;4;3.0;2184.207862;65 Grant Ave;Brooklyn, NY 11208;65 Grant AveBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Grant Avenue;65 Grant Ave, Brooklyn, NY 11208, USA;40.6895034;-73.8684501
Brokered by Exit Alliance Realty;Co-op for sale;199000;2;1.0;2184.207862;8900 170th St Apt 7D;Jamaica, NY 11432;8900 170th St Apt 7DJamaica, NY 11432;New York;Queens County;Queens;Jamaica;89-00;89-00 170th St #7e, Jamaica, NY 11432, USA;40.7092156;-73.7912209
Brokered by Corcoran Williamsburg Bedford;House for sale;5500000;8;6.0;9000.0;5041 Goodridge Ave;Bronx, NY 10471;5041 Goodridge AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Goodridge Avenue;5041 Goodridge Ave, Bronx, NY 10471, USA;40.8985084;-73.902753
Brokered by B Square Realty;House for sale;899000;4;2.3738608579684373;2184.207862;36-34 Clearview Expy;Bayside, NY 11361;36-34 Clearview ExpyBayside, NY 11361;United States;New York;Queens County;Queens;Clearview Expressway;36-34 Clearview Expy, Bayside, NY 11361, USA;40.7646585;-73.780903
Brokered by TALK OF THE TOWN REALTY C;House for sale;699000;3;2.0;2350.0;2138 Coleman St;Brooklyn, NY 11234;2138 Coleman StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;Coleman Street;2138 Coleman St, Brooklyn, NY 11234, USA;40.6095856;-73.9253159
