Weight,Height
129.2659,71.05722
132.4324,70.44551
123.2117,66.78778
104.313,66.99974
129.3818,66.93056
156.5212,68.64546
116.6739,68.33571
131.0346,67.13465
137.65,66.99755
109.5773,66.55502
118.1356,67.6653
121.9493,68.29447
136.1423,67.86169
123.9677,65.99617
126.5029,69.31348
128.1357,66.8696
111.9666,67.89663
132.2773,68.59532
119.7798,65.47889
122.6844,65.17519
121.3777,69.09782
135.8185,68.59388
107.0327,67.38888
148.6724,67.39861
118.6378,67.55792
135.944,68.62413
143.4643,68.57569
139.2707,69.64614
153.1772,70.87591
120.1556,66.54682
122.6771,66.75683
132.2348,69.0924
125.055,66.26872
129.744,70.44345
100.8841,65.63798
125.2816,66.14059
116.3008,69.02744
135.7018,69.11634
124.487,66.91189
118.6579,67.47984
142.8314,66.27411
133.5337,69.06754
113.0626,68.74367
123.231,67.78497
121.5905,66.80328
125.0247,67.49976
123.9833,65.05186
105.2719,69.20162
124.7545,69.61355
130.2035,70.41472
121.8655,62.91894
125.3295,69.06546
123.1664,68.80458
144.891,67.55559
136.7792,69.75067
129.1908,68.04394
107.8295,70.18295
141.8741,68.99489
128.5576,67.51961
119.602,64.56646
135.2597,71.95831
144.1056,69.0224
122.3771,66.51118
121.1185,67.9872
111.0184,67.45834
136.7198,67.4141
112.0242,65.22365
142.3476,69.31591
135.2131,69.34287
143.4556,68.50494
137.6151,70.94343
122.2489,69.26483
111.4897,64.8763
121.8431,67.3401
117.6178,65.85647
129.4322,68.28513
135.5103,71.49848
125.2074,68.14922
136.736,73.22107
136.0741,70.24483
119.8647,66.16476
150.4398,70.72408
126.7483,69.60885
131.2725,68.64307
121.2912,70.82908
112.7295,66.17383
138.1077,68.54875
116.8066,67.97518
125.2183,68.32635
127.6232,72.05565
124.3097,67.94268
119.0444,67.72877
126.4719,69.59699
130.0128,70.84343
139.4641,71.14967
112.8561,66.78035
128.4778,67.51289
129.867,69.2969
113.2546,68.04596
127.5542,66.49564
151.8397,71.87029
132.1402,68.3905
113.921,65.00438
120.4717,66.20503
126.0365,69.34408
116.4037,67.73769
120.5159,68.95293
141.8728,67.79797
130.6336,66.26302
122.8188,69.71346
96.06788,67.72305
123.1148,66.72756
132.4506,66.75114
142.6672,66.96514
106.3744,67.59748
135.7343,65.51196
118.4039,68.93433
139.9917,70.04973
142.7562,68.57453
133.5556,69.95846
144.783,69.67227
121.146,67.48895
127.0591,68.41794
141.8289,70.64777
118.5769,68.74365
134.2321,67.49912
118.3576,68.96778
115.885,64.27649
126.8942,69.76465
140.9144,68.8062
118.5909,69.53558
117.2523,66.76818
144.426,70.02343
114.9949,65.68234
103.4864,63.5547
116.7422,64.35694
104.8291,67.86944
116.6974,64.26485
