# Метеостанция Тобольск, Россия, WMO_ID=28275, выборка с 06.09.2009 по 06.09.2010, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=28275&lang=ru
#
"Местное время в Тобольске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.09.2010 23:00";"8.1";"755.6";"759.9";"";"81";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"16.5";"";"100%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"5.0";"";"";"";"";"";"";
"06.09.2010 20:00";"10.3";"755.0";"759.2";"";"72";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"16.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"5.5";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"06.09.2010 17:00";"15.6";"754.7";"758.9";"";"55";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"6.7";"";"";"";"";"";"";
"06.09.2010 14:00";"15.4";"754.9";"759.1";"";"58";"Ветер, дующий с запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"7.1";"";"";"";"";"";"";
"06.09.2010 11:00";"14.3";"755.1";"759.3";"";"62";"Ветер, дующий с запада";"4";"";"";"70 – 80%.";" ";"";"";"8.5";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"";"";"20.0";"7.1";"";"";"";"";"";"";
"06.09.2010 08:00";"10.8";"755.6";"759.9";"";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"7.8";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"06.09.2010 05:00";"8.6";"755.6";"759.8";"";"83";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"5.9";"";"";"";"";"";"";
"06.09.2010 02:00";"8.9";"755.6";"759.8";"";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"05.09.2010 23:00";"10.4";"755.9";"760.2";"";"75";"Ветер, дующий с западо-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"21.7";"";"";"";"";"";"10.0";"6.1";"";"";"";"";"";"";
"05.09.2010 20:00";"14.3";"755.8";"760.0";"";"59";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"21.7";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"6.4";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"05.09.2010 17:00";"20.4";"755.6";"759.7";"";"48";"Ветер, дующий с западо-северо-запада";"5";"";"12";"100%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"600-1000";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"9.0";"";"";"";"";"";"";
"05.09.2010 14:00";"20.6";"755.7";"759.8";"";"48";"Ветер, дующий с западо-северо-запада";"4";"12";"12";"100%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"600-1000";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"9.2";"";"";"";"";"";"";
"05.09.2010 11:00";"18.2";"756.8";"760.9";"";"60";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";" ";"";"";"13.0";"";"";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"10.2";"0.3";"12";"";"";"";"";
"05.09.2010 08:00";"13.8";"756.2";"760.4";"";"72";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"8.9";"0.3";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"05.09.2010 05:00";"13.7";"756.2";"760.4";"";"60";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.2";"";"";"";"";"";"";
"05.09.2010 02:00";"14.8";"756.7";"760.9";"";"57";"Ветер, дующий с юго-запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"";"";"10.0";"6.5";"";"";"";"";"";"";
"04.09.2010 23:00";"17.5";"757.7";"761.8";"";"43";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"22.9";"";"";"";"";"";"10.0";"4.8";"";"";"";"";"";"";
"04.09.2010 20:00";"19.4";"758.5";"762.6";"";"44";"Ветер, дующий с юго-юго-запада";"3";"";"";"20–30%.";" ";"";"";"";"22.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"";"";"20.0";"6.7";"";"";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"";"";"";
"04.09.2010 17:00";"21.4";"759.8";"763.9";"";"44";"Ветер, дующий с юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"8.5";"";"";"";"";"";"";
"04.09.2010 14:00";"22.0";"760.6";"764.7";"";"43";"Ветер, дующий с юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"8.9";"";"";"";"";"";"";
"04.09.2010 11:00";"18.9";"761.9";"766.1";"";"46";"Ветер, дующий с юго-запада";"4";"";"";"100%.";" ";"";"";"10.9";"";"";"Облаков нет.";"2500 или более, или облаков нет.";"";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"7.0";"";"";"";"";"";"";
