Year_Birth,Education,Marital_Status,NumDealsPurchases,MntWines
1972,Graduation,Single,2,604
1982,Graduation,Together,3,99
1977,Graduation,Married,4,652
1965,Master,Together,3,202
1984,Master,Married,4,116
1990,Graduation,Single,1,448
1978,Graduation,Together,4,131
1968,Master,Together,3,314
1953,Graduation,Married,2,97
1970,Graduation,Single,10,433
1964,Master,Married,1,509
1961,Master,Together,1,28
1956,PhD,Single,5,154
1987,Graduation,Single,1,2
1971,Graduation,Married,4,303
1946,Graduation,Together,1,966
1973,Graduation,Married,1,693
1962,Graduation,Together,3,362
1956,Master,Together,1,31
1973,PhD,Single,5,322
1977,Graduation,Married,2,10
1974,Master,Married,1,750
1971,Graduation,Married,8,167
1950,PhD,Divorced,4,209
1963,Graduation,Together,2,631
1990,Graduation,Married,1,2
1978,Graduation,Married,1,293
1988,Graduation,Single,1,13
1985,PhD,Single,2,202
1958,Master,Single,1,543
1956,PhD,Married,1,611
1970,Graduation,Married,3,575
1961,Basic,Married,1,1
1965,Graduation,Single,1,279
1964,Graduation,Married,5,895
1966,Master,Together,2,33
1966,Master,Married,4,38
1993,Graduation,Single,1,375
1954,Graduation,Together,2,69
1946,Graduation,Together,2,84
1956,Graduation,Divorced,4,244
1967,Graduation,Married,2,709
1984,PhD,Single,2,19
1981,Graduation,Single,1,479
1974,PhD,Married,2,210
1975,Master,Married,2,123
1987,Master,Divorced,1,621
1948,PhD,Together,2,269
1954,Master,Together,2,62
1947,Graduation,Married,1,9
1961,Graduation,Married,4,201
1959,PhD,Married,3,21
1979,Graduation,Married,15,1
1959,Graduation,Married,1,129
1979,Graduation,Together,1,709
1966,Master,Married,8,464
1958,Graduation,Together,2,743
1982,Graduation,Together,3,16
1953,PhD,Married,2,208
1970,Graduation,Single,1,7
1986,PhD,Single,1,196
1977,Graduation,Married,6,171
1974,Master,Married,1,217
1973,Graduation,Married,2,8
1972,PhD,Married,2,14
1969,Graduation,Widow,2,63
1977,Graduation,Married,6,244
1972,PhD,Single,3,38
1975,Master,Together,3,6
1965,Graduation,Married,1,23
1955,PhD,Married,6,629
1952,Graduation,Single,1,203
1977,Master,Married,3,721
1967,Graduation,Single,1,59
1959,Graduation,Married,1,217
1983,PhD,Divorced,1,982
1974,Graduation,Together,3,97
1899,PhD,Together,1,755
1971,PhD,Single,2,458
1977,Graduation,Single,1,22
1976,Graduation,Together,2,198
1966,Graduation,Single,1,10
1950,PhD,Married,1,26
1960,Graduation,Married,2,17
1971,PhD,Together,2,26
1950,PhD,Together,1,30
1957,Graduation,Single,3,635
1969,Master,Married,3,57
1971,Graduation,Single,1,4
1968,Graduation,Together,3,28
1963,PhD,Single,2,52
1957,Graduation,Together,1,9
1986,PhD,Single,4,68
1968,Graduation,Divorced,8,641
1967,Graduation,Divorced,2,561
1960,Graduation,Together,2,6
1977,Graduation,Single,4,173
1962,Graduation,Divorced,5,897
1981,Graduation,Married,1,3
1978,Basic,Single,3,2
1983,Master,Married,1,12
1975,Graduation,Divorced,3,1045
1973,Master,Married,13,539
1992,Basic,Single,2,2
1978,Master,Single,2,852
1971,Master,Single,1,14
1983,Graduation,Together,1,46
1966,Graduation,Single,9,231
1970,PhD,Married,3,1253
1957,PhD,Single,1,11
1969,Graduation,Married,5,73
1975,PhD,Married,5,80
1968,Master,Divorced,3,112
1981,PhD,Together,7,746
1969,Graduation,Divorced,1,16
1972,Graduation,Married,2,1218
1975,Graduation,Married,2,151
1992,Basic,Married,2,6
1951,Graduation,Together,1,446
1953,Graduation,Single,2,778
1978,Graduation,Single,2,22
1972,Graduation,Married,1,642
1975,Graduation,Single,2,6
1968,Graduation,Together,4,51
1952,Graduation,Married,1,324
1960,PhD,Single,1,760
1971,Graduation,Single,3,4
1964,Graduation,Together,2,136
1968,Graduation,Single,1,265
1971,Graduation,Married,4,96
1963,Graduation,Married,3,370
1979,Graduation,Divorced,2,1
1973,PhD,Divorced,2,15
1975,PhD,Married,1,97
1975,Master,Married,0,817
1986,Graduation,Married,6,120
1988,PhD,Married,1,864
1990,Graduation,Married,1,12
1975,Graduation,Single,2,143
1975,PhD,Divorced,2,588
1974,Graduation,Together,1,4
1954,Graduation,Married,3,34
1989,Graduation,Single,1,31
1963,Graduation,Single,1,557
1965,Graduation,Single,1,28
1976,Graduation,Together,1,8
1956,Graduation,Divorced,1,5
1956,Master,Together,2,428
1979,Graduation,Together,1,709
1970,Master,Married,6,513
1955,Graduation,Divorced,2,219
1965,PhD,Married,1,882
1971,Graduation,Married,1,1
1948,PhD,Single,6,502
1969,Master,Married,1,572
1957,PhD,Married,11,733
1970,Graduation,Married,4,9
1974,Graduation,Married,5,215
1946,PhD,Together,7,406
1951,Graduation,Married,3,572
1949,Master,Married,1,9
1987,Basic,Single,2,1
1951,Master,Widow,2,612
1975,Master,Single,1,1288
1956,Graduation,Together,5,72
1966,Graduation,Married,6,538
1974,PhD,Together,1,14
1988,Graduation,Single,4,5
1983,Graduation,Married,1,255
1957,Master,Married,3,349
1965,Graduation,Married,3,811
1959,Graduation,Divorced,1,212
1968,Graduation,Married,4,14
1975,PhD,Together,2,167
1975,Graduation,Married,2,261
1945,PhD,Married,1,562
1968,Graduation,Married,2,279
1952,Graduation,Together,6,90
1965,Graduation,Together,2,7
1976,Graduation,Married,3,598
1982,Graduation,Married,2,175
1992,Graduation,Together,1,438
1952,Graduation,Together,5,135
1975,PhD,Married,1,1149
1957,Graduation,Married,1,792
1995,Graduation,Single,1,283
1959,Graduation,Together,1,227
1963,Basic,Together,1,3
1966,Graduation,Divorced,1,102
1971,Master,Together,4,284
1959,PhD,Married,2,952
1950,PhD,Single,3,28
1969,Graduation,Married,1,24
1959,PhD,Divorced,4,1063
1962,Graduation,Single,2,64
1985,Graduation,Single,1,1067
1975,PhD,Single,2,789
1958,Master,Single,1,5
1958,PhD,Widow,4,62
1945,PhD,Together,1,345
1973,Graduation,Together,1,627
1962,Master,Married,1,62
1961,Graduation,Married,1,658
1977,Graduation,Married,1,587
1951,Graduation,Single,4,240
1963,Master,Divorced,6,81
1961,Graduation,Married,4,201
1979,Graduation,Single,1,14
1965,PhD,Married,3,105
1978,Graduation,Together,2,29
1947,Graduation,Together,1,303
1959,Graduation,Single,2,515
1959,Graduation,Single,9,313
1957,Graduation,Together,2,54
1981,Graduation,Married,2,6
1981,PhD,Single,2,23
1976,Graduation,Married,4,173
1955,Graduation,Widow,6,189
1980,PhD,Married,4,155
1953,Master,Together,4,320
1971,Master,Single,3,79
1971,Graduation,Married,4,1090
1989,Graduation,Single,1,10
1988,Graduation,Single,1,456
1949,PhD,Widow,3,710
1957,Graduation,Married,3,198
1958,PhD,Together,1,881
1956,Master,Married,3,544
1969,Graduation,Single,1,364
1977,Graduation,Single,2,479
1970,Master,Married,5,130
1995,Graduation,Single,1,4
1980,Graduation,Married,1,777
1975,Master,Single,4,57
1955,PhD,Together,1,38
1979,Graduation,Divorced,2,1
1979,Graduation,Married,8,457
1966,Graduation,Married,2,356
1979,Graduation,Married,3,270
1986,Graduation,Single,1,10
1974,PhD,Married,2,153
1957,Master,Together,3,240
1956,Graduation,Widow,1,19
1982,Graduation,Together,1,5
1956,Master,Single,1,556
1947,PhD,Together,1,410
1953,Graduation,Together,1,25
1955,Graduation,Together,1,983
1958,PhD,Widow,2,112
1969,PhD,Together,3,159
1951,Graduation,Married,0,879
1965,PhD,Together,2,167
1970,Graduation,Divorced,2,180
1988,Master,Single,1,1184
1969,Basic,Together,1,0
1959,Graduation,Together,1,8
1982,Graduation,Together,1,358
1985,Graduation,Together,2,16
1979,Graduation,Single,7,265
1982,PhD,Married,1,1478
1959,Master,Widow,3,100
1960,PhD,Divorced,6,459
1979,Basic,Single,4,3
1966,Graduation,Divorced,2,673
1967,Graduation,Married,1,21
1965,Master,Together,5,239
1977,Graduation,Married,6,244
1989,Graduation,Married,5,235
1959,Graduation,Widow,2,526
1971,PhD,Married,3,1000
1953,Graduation,Married,4,443
1972,PhD,Married,4,516
1958,Graduation,Divorced,4,36
1973,PhD,Single,6,96
1948,PhD,Married,3,410
1972,PhD,Married,1,130
1954,Graduation,Married,1,398
1957,Graduation,Single,1,912
1972,Basic,Married,1,2
1962,Graduation,Divorced,1,14
1970,Graduation,Widow,4,371
1962,PhD,Together,2,108
1989,Graduation,Together,2,33
1953,Graduation,Divorced,1,125
1991,Graduation,Married,1,83
1973,PhD,Together,1,5
1974,PhD,Single,1,965
1952,PhD,Divorced,6,96
1975,Graduation,Married,4,50
1965,PhD,Married,1,684
1951,Graduation,Single,1,483
1961,Graduation,Single,0,464
1958,PhD,Single,9,239
1969,Graduation,Married,2,24
1988,Graduation,Together,1,1259
1958,Graduation,Single,1,995
1950,Master,Divorced,5,965
1949,Graduation,Widow,1,161
1984,Graduation,Married,3,28
1976,PhD,Married,1,760
